OriginalSampleName,sample,tissue,age,group,OriginalSampleName.1
SRSC_METH_001,SRSC_001_Liver,Liver,5,Y_C,SRSC_METH_001
SRSC_METH_002,SRSC_002_Liver,Liver,5,Y_C,SRSC_METH_002
SRSC_METH_003,SRSC_003_Liver,Liver,12,O_WT,SRSC_METH_003
SRSC_METH_004,SRSC_004_Liver,Liver,12,O_V,SRSC_METH_004
SRSC_METH_005,SRSC_005_Heart,Heart,18,O_C,SRSC_METH_005
SRSC_METH_006,SRSC_006_Heart,Heart,18,O_GES,SRSC_METH_006
SRSC_METH_007,SRSC_007_Liver,Liver,5,Y_C,SRSC_METH_007
SRSC_METH_008,SRSC_008_Liver,Liver,5,Y_C,SRSC_METH_008
SRSC_METH_009,SRSC_009_Heart,Heart,12,O_WT,SRSC_METH_009
SRSC_METH_010,SRSC_010_Heart,Heart,12,O_V,SRSC_METH_010
SRSC_METH_011,SRSC_011_Liver,Liver,18,O_C,SRSC_METH_011
SRSC_METH_012,SRSC_012_Liver,Liver,18,O_GES,SRSC_METH_012
SRSC_METH_013,SRSC_013_Heart,Heart,5,Y_C,SRSC_METH_013
SRSC_METH_014,SRSC_014_Heart,Heart,5,Y_C,SRSC_METH_014
SRSC_METH_015,SRSC_015_Liver,Liver,12,O_WT,SRSC_METH_015
SRSC_METH_016,SRSC_016_Liver,Liver,12,O_V,SRSC_METH_016
SRSC_METH_017,SRSC_017_Heart,Heart,18,O_C,SRSC_METH_017
SRSC_METH_018,SRSC_018_Heart,Heart,18,O_GES,SRSC_METH_018
SRSC_METH_019,SRSC_019_Liver,Liver,5,Y_C,SRSC_METH_019
SRSC_METH_020,SRSC_020_Liver,Liver,5,Y_C,SRSC_METH_020
SRSC_METH_021,SRSC_021_Heart,Heart,12,O_WT,SRSC_METH_021
SRSC_METH_022,SRSC_022_Heart,Heart,12,O_V,SRSC_METH_022
SRSC_METH_023,SRSC_023_Liver,Liver,18,O_C,SRSC_METH_023
SRSC_METH_024,SRSC_024_Liver,Liver,18,O_GES,SRSC_METH_024
SRSC_METH_025,SRSC_025_Heart,Heart,5,Y_C,SRSC_METH_025
SRSC_METH_026,SRSC_026_Heart,Heart,5,Y_C,SRSC_METH_026
SRSC_METH_027,SRSC_027_Liver,Liver,12,O_WT,SRSC_METH_027
SRSC_METH_028,SRSC_028_Liver,Liver,12,O_V,SRSC_METH_028
SRSC_METH_029,SRSC_029_Heart,Heart,18,O_C,SRSC_METH_029
SRSC_METH_030,SRSC_030_Heart,Heart,18,O_GES,SRSC_METH_030
