Protein accession,Gene name,FY_1,FY_2,FY_3,FY_4,MY_1,MY_2,MY_3,MY_4,FV_1,FV_2,FV_3,FV_4,MV_1,MV_2,MV_3,MV_4,FWT_1,FWT_2,FWT_3,FWT_4,MWT_1,MWT_2,MWT_3,MWT_4,FGES_1,FGES_2,FGES_3,FGES_4,MGES_1,MGES_2,MGES_3,MGES_4
A0A2K5TJB2,TGFB1,0.710935321,0.737127767,0.766076749,0.748888534,0.861384015,0.909190897,0.895843151,0.909441933,1.390576706,1.355470519,1.334881635,1.297420764,0.929899461,0.948048036,0.977475739,0.969441599,1.071799292,1.058809614,0.989492408,1.13627091,1.000672289,1.049848195,0.986913933,1.02307097,1.217643705,1.087270145,1.20395346,1.275313986,0.719275959,0.78725625,0.853958979,0.796347079
A0A2K5TPK4,HNRNPU,0.477720791,0.478708031,0.382474775,0.320877688,1.722379405,2.285598939,1.599861126,2.042207781,0.704915101,0.473454573,0.44998348,0.48045984,2.090397319,1.824226727,1.537119156,2.037882447,0.715961944,0.546656166,0.665245189,0.962300043,0.393031939,0.217409597,0.355531592,0.266790326,0.556458613,0.572857441,0.722837155,0.753170652,1.454632382,1.473559412,1.68322479,1.752065579
A0A2K5TPZ9,NFKB1,,,1.345926621,0.577729067,1.13781112,0.844737233,1.130721682,1.008379635,1.102998476,1.16317118,0.939919509,1.062606181,0.956992146,0.707521588,0.752454187,0.935072871,0.906944868,1.213623256,1.23462353,1.196195053,0.658573829,0.929493221,0.87048568,0.9328246,0.921534013,1.111335131,1.135934826,0.936030164,,0.557489157,1.728871176,
A0A2K5TSK2,CDH5,0.968931869,0.89510593,1.045734971,0.933233341,1.541797033,1.533150653,1.538150969,1.460388378,1.189674991,1.101440247,1.160550343,1.188452326,0.868958444,0.838172506,0.981251727,0.905342323,0.804497132,0.799990268,0.678255598,0.739350469,0.868475957,0.881486648,0.910287811,0.981624558,0.770339271,0.81867566,0.721460084,0.724733317,1.194669825,1.110371732,0.935163287,0.910282328
A0A2K5TXF6,MAPK1,0.683848976,0.506094149,0.523202715,0.553210572,0.931735121,0.950972968,0.882681265,0.909517189,1.15433908,1.108485212,0.96509235,1.055533739,1.557795485,1.389166692,1.32361242,1.302296855,1.033967938,0.984861001,1.007753812,1.04155085,0.9977747,1.002612597,0.962673401,0.817020831,1.2424146,1.247889462,1.235771969,1.101546848,0.927299118,0.934146487,0.843022636,0.822108965
A0A2K5TZC4,PCSK9,0.91074429,0.749191021,0.722233731,0.781227513,0.548584168,0.480470908,0.47332828,0.515218714,0.803659695,1.026516918,1.040141301,0.86854795,0.927606665,0.85632179,0.79431656,0.841248679,1.025418829,1.069112957,1.053611289,1.100794482,0.780521908,0.735368952,0.63612682,0.767148599,1.303652345,1.422214206,1.494194585,1.387451971,2.06212734,1.341984451,1.739843286,1.741069798
A0A2K5TZI7,TGFB2,0.764155254,0.460660917,1.005711028,0.572532447,0.748770883,0.716001613,0.584338718,0.667668095,1.360460674,1.218360034,1.450656989,1.187666646,1.157629567,1.462771969,1.440554691,1.216437291,0.620107563,0.769004649,0.72198861,0.918414628,0.996972395,1.047688071,1.45750205,0.995193068,1.265519488,1.032614839,1.236814473,0.923628639,0.989711671,1.020152259,0.991376752,0.998934029
A0A2K5U698,APP,0.738248299,1.01517258,1.128200671,1.139527041,1.252020706,1.359813727,1.314094499,1.362528953,0.626694188,0.566755223,0.559755974,0.622700364,1.195725028,1.133904081,1.230183971,1.080082276,0.800606544,0.762972655,0.83228705,0.78749301,1.288358757,1.351214076,1.312962437,1.282632361,1.225359776,1.237809589,1.107424167,1.119066595,0.605748161,0.555848348,0.716371338,0.688437556
A0A2K5U6Y8,BAG6,0.714750004,0.696126033,0.66861412,0.694231974,0.921219392,0.96404774,0.926720643,0.984916312,1.513364415,1.388865375,1.367725416,1.334440863,0.886102973,0.793480663,0.842946698,0.791903223,1.352086708,1.336719388,1.242864526,1.338234635,1.533848521,1.790343681,1.782778753,1.575676127,0.686299542,0.615212965,0.676280818,0.656599567,0.467916806,0.488032277,0.500814631,0.466835213
A0A2K5U918,FMR1,0.703717276,,,,1.104487536,0.641131084,0.838151793,1.493108405,0.83955378,,0.824694114,1.159314221,1.220647648,1.05729543,1.263272888,1.20219626,1.251491346,1.032906422,1.039652613,1.133408707,0.795589018,,0.775065883,,,0.820793538,0.803522039,,,,,
A0A2K5UAU4,MDK,1.184446208,1.436541295,2.157259074,1.024367772,0.820852001,0.817172295,0.697031647,1.17404665,1.32038812,1.098640467,1.095161937,0.983146367,1.235438125,1.142514684,0.561516107,0.850929199,0.888966331,0.815801601,0.74219849,0.591522744,0.765160991,0.853440887,0.937281416,0.558135162,0.83845033,0.865512902,0.79170261,0.951775041,0.989657538,1.098269644,1.29630264,1.416369724
