CpG_ID,207925070004_R01C01,207925070004_R01C02,207925070004_R03C01,207925070004_R03C02,207925070004_R04C02,207925070004_R05C01,207925070004_R06C01,207925070004_R06C02,207925070005_R01C01,207925070005_R02C01
cg00000165,0.0951707826914525,0.0737891690397413,0.0650066969821803,0.0788587661764434,0.0874275608791228,0.092674557962917,0.0636432847562582,0.065637087354199,0.0812534588533522,0.0899533728740798
cg00001209,0.836962547334671,0.844771832649254,0.811764602425852,0.799302345372816,0.772189214344869,0.846267750902021,NA,0.83525722883378,0.820032400225232,0.796491297698306
cg00001364,0.383839562021464,0.527327679908171,0.42565838779694,0.793632943239223,0.85011210390504,0.448393716956747,0.426242822378658,0.825241996970788,0.884146240265664,0.837204309093485
cg00001582,0.0676521923744276,0.0668805562943539,0.063126313770465,0.0635190927052153,0.0587461428813874,0.0671638503939857,0.0608870279708281,0.0601632329953303,0.0612311545355648,0.0574469375438598
cg00002920,0.730129244219031,NA,NA,NA,NA,NA,NA,NA,NA,NA
cg00004555,0.114422829932861,0.0979270055905034,NA,0.104969860955825,0.110499133446369,0.0913774013453761,NA,NA,0.147408730139248,0.126865562216226
cg00005112,0.593830198471846,0.582410104864624,0.577604251619309,0.697324974785238,0.573025440366363,0.573297234726426,0.528132779321427,0.631306466740046,0.698459492900615,0.763435007073446
cg00005271,0.962345102348676,0.964160606899779,0.963799829167498,0.907764859208797,0.925749677138345,0.962439789275261,0.955900574359386,0.897500932800559,0.935898006296332,0.917117441786835
cg00006213,0.864415740049479,0.875519489257015,0.863183400443367,0.909878261283764,0.880677492797637,0.880296555893224,0.88356011506886,0.910710374832316,0.905757909635075,0.914934764333089
cg00008998,0.64614131402718,0.619404910771925,0.685185318961265,0.557838489660121,0.591399215136581,0.665689546671238,NA,0.587744187909576,0.602804028755514,NA
cg00009248,0.486610893552592,0.45508071196662,0.561604333729856,0.640560023500041,0.597386489456462,0.621517917382562,0.589101431858479,0.690852245784584,0.644773793791422,0.667818148005733
cg00009319,0.37953533962792,0.426002950599883,0.380882114141986,0.497877018045123,0.489030067483075,0.453011068114201,0.298534976382003,0.51502040500174,0.616379186949676,0.524594431955552
cg00010445,0.428152694322471,0.484008217788668,0.463032331177911,0.207384182280242,0.20068599240359,0.483503187735983,0.371705995348508,0.160630945112716,0.164635094613527,0.174170867278654
cg00010903,0.947327878997387,0.94963551170599,0.948363256974945,0.939301943834366,0.943718308929651,0.946960116199964,0.926937537895939,0.94285231903607,0.943475375571859,0.945485635811685
